alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1738788868.6577,transparent,5886.4188899597,1730467017.6418,"AS55653 Skyline Semesta, PT",SKYLINE-AS-ID,Bandung,Asia,AS,Indonesia,ID,,false,SKYLINE,-6.88786,107.591,false,,false,"West Java",success,Asia/Jakarta,,1738714508,1738788875.006,8080,http,43.249.143.166:8080,false,1788.7625694275,1440,13879,9.4000913897774,43.249.143.166
true,1738780471.6362,transparent,5816.8235310683,1737561980.8597,"AS151993 PT Wifian Global Nusantara",IDNIC-WGN-AS-ID,Karawang,Asia,AS,Indonesia,ID,,false,"PT Wifian Global Nusantara",-6.27868,107.429,true,"PT Wifian Global Nusantara",true,"West Java",success,Asia/Jakarta,,1738771931,1738780471.6362,8080,http,203.111.253.103:8080,false,3950.110912323,1861,11614,13.810760667904,203.111.253.103
true,1738779558.9124,transparent,6291.6824248464,1732576562.2122,"AS328749 Triqa Wifi",Triqa-Wifi,Klerksdorp,Africa,AF,"South Africa",ZA,,false,"Triqa Wifi",-26.866,26.6644,false,Triqa,true,"North West",success,Africa/Johannesburg,2571,1738712726,1738779566.1362,8080,http,102.222.62.111:8080,false,2552.250623703,2375,18236,11.522973169667,102.222.62.111
true,1738734101.5736,transparent,6055.001989926,1737738648.7433,"AS329174 Swift Broadband Limited",Swift-Broadband-Limited,Chuka,Africa,AF,Kenya,KE,,false,"Swift Broadband Limited",-0.33316,37.6459,false,"Swift Broadband",false,"Tharaka - Nithi",success,Africa/Nairobi,,1738343518,1738734101.5736,8080,http,102.213.241.70:8080,false,847.2146987915,1281,9060,12.38758340586,102.213.241.70
true,1738728111.8087,transparent,5604.6419035022,1710585335.3198,"AS21003 General Post and Telecommunication Company (GPTC)",GPTC-AS,Tripoli,Africa,AF,Libya,LY,"Hai Alandalus",false,Rawafed,32.8744,13.1321,false,,true,Tripoli,success,Africa/Tripoli,,1738712843,1738728111.8087,8080,http,154.73.29.129:8080,false,3259.7391605377,6890,69953,8.9663339536457,154.73.29.129
true,1738713421.6087,anonymous,5092.3039739377,1738149621.8198,"AS140384 PT BITNIAGA CIPTA GEMILANG",BITNIAGA-AS-ID,Situbondo,Asia,AS,Indonesia,ID,,false,"PT BITNIAGA CIPTA GEMILANG",-7.7088,114.0047,false,,false,"East Java",success,Asia/Jakarta,68351,1738149870,1738713421.6087,8080,http,103.149.238.106:8080,false,1816.782951355,535,3396,13.609768506741,103.149.238.106
true,1738458821.806,elite,836.33828163147,1738452412.239,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Shenyang,Asia,AS,China,CN,,false,Chinanet,41.8357,123.429,true,"Chinanet LN",false,Liaoning,success,Asia/Shanghai,110000,1738458823,1738458821.806,1080,http,182.204.180.146:1080,false,836.33828163147,1,32,3.030303030303,182.204.180.146
true,1738410825.444,transparent,5563.7428967849,1738326204.3614,"AS43395 Pooya Parto Qeshm Cooperative Company",Ertebatat-Doorbord-Fars,Bastak,Asia,AS,Iran,IR,,false,"Ayandeh Gostar Bastak Co. P. J. S",27.1986,54.3666,false,,false,Hormozgan,success,Asia/Tehran,,1738326206,1738410825.444,8080,http,45.86.6.137:8080,false,454.4517993927,46,771,5.6303549571603,45.86.6.137
true,1738336437.877,transparent,612.08987236023,1738335696.6699,"AS140478 PT Hijrah Muara Sintetis",HIJRAHNET-AS-ID,Selong,Asia,AS,Indonesia,ID,,false,HIJRAHNET,-8.6484,116.531,false,,false,"West Nusa Tenggara",success,Asia/Makassar,83611,1738336439,1738336437.877,8080,http,103.154.25.126:8080,false,612.08987236023,1,1,50,103.154.25.126
true,1738336419.7729,transparent,6714.3724441235,1737063665.5134,"AS28171 S. O. do Brasil Telecomunicações LTDA ME","S. O. do Brasil Telecomunicações LTDA ME","Volta Redonda","South America",SA,Brazil,BR,,false,"S. O. do Brasil Telecomunicações LTDA ME",-22.5218,-44.1012,false,"S. O. do Brasil Telecomunicações LTDA ME",true,"Rio de Janeiro",success,America/Sao_Paulo,27200,1738273333,1738336419.7729,8080,http,179.107.159.103:8080,false,3858.5426807404,1627,16963,8.7520172135557,179.107.159.103
